inst,density,t,J_SA,J_noRAG,class_noRAG,J_fwRAG,class_fwRAG,fwRAG_minus_noRAG
RC101,d25,0.6,557.4761,1358.6617,worse,1358.6617,worse,0.0
RC101,d25,1.0,664.1195,657.7344,improved,1358.6617,worse,700.93
RC101,d50,0.6,647.7864,1287.0193,worse,1287.0193,worse,0.0
RC101,d50,1.0,713.5216,660.7319,improved,1287.0193,worse,626.29
RC101,d75,0.6,435.4846,225.0895,improved,757.8773,worse,532.79
RC101,d75,1.0,549.4846,376.6951,improved,755.1474,worse,378.45
RC102,d25,0.6,425.0776,1000.1379,worse,1000.1379,worse,0.0
RC102,d25,1.0,642.687,475.552,improved,1000.1379,worse,524.59
RC102,d50,0.6,377.9014,756.3313,worse,756.3313,worse,0.0
RC102,d50,1.0,551.8108,422.9533,improved,794.4101,worse,371.46
RC102,d75,0.6,302.0423,302.0423,tie,530.8457,worse,228.8
RC102,d75,1.0,350.2659,454.8421,worse,521.4054,worse,66.56
RC103,d75,0.6,80.0821,80.0821,tie,80.0821,tie,0.0
RC103,d75,1.0,80.0821,79.1914,improved,80.0821,tie,0.89
RC104,d25,0.6,495.7876,463.4872,improved,463.4872,improved,0.0
RC104,d25,1.0,495.7876,438.9698,improved,502.1811,worse,63.21
RC104,d50,0.6,281.6688,459.6925,worse,459.6925,worse,0.0
RC104,d50,1.0,376.2111,316.5934,improved,459.6925,worse,143.1
RC104,d75,0.6,119.2209,119.2209,tie,119.2209,tie,0.0
RC104,d75,1.0,119.2209,73.2091,improved,119.2209,tie,46.01
RC105,d25,0.6,290.8073,93.4175,improved,1164.231,worse,1070.81
RC105,d25,1.0,459.8412,171.0072,improved,1214.7403,worse,1043.73
RC105,d50,0.6,439.1105,814.6231,worse,883.5194,worse,68.9
RC105,d50,1.0,405.3924,387.9819,improved,1012.756,worse,624.77
RC105,d75,0.6,310.7817,226.7813,improved,527.1467,worse,300.37
RC105,d75,1.0,304.192,170.0145,improved,527.1467,worse,357.13
